Size,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort,Radix Sort
1000,0.04080469999462366,0.019994799979031086,0.0018497999990358949,0.0008387000416405499,0.0010964000248350203
2000,0.16874659998575225,0.08187990001169965,0.004060300008859485,0.0019694000366143882,0.0022012999979779124
3000,0.385385200032033,0.18685100000584498,0.006575899955350906,0.003052300016861409,0.0033130000228993595
4000,0.6936887999763712,0.32821980002336204,0.008994000032544136,0.004170299973338842,0.004471800057217479
5000,1.1001226999796927,0.5214093999820761,0.012167999986559153,0.005442499998025596,0.00556629995116964
6000,1.5804088999866508,0.7463115999707952,0.01460870000300929,0.006748400046490133,0.006706800020765513
7000,2.1413868999807164,1.0215188000001945,0.017285200010519475,0.007963000040035695,0.007755100028589368
8000,2.8286263999762014,1.3332672999822535,0.020199400023557246,0.009229099960066378,0.009121000010054559
9000,3.593628499947954,1.6845467999810353,0.02369659999385476,0.010241899988614023,0.010141099977772683
10000,4.447490499995183,2.0649839999969117,0.02648080000653863,0.011647899984382093,0.01117870002053678
